user_id,Books,Business,Education,Entertainment,Finance,Games,Health&Fitness ,Lifestyle ,Music,Navigation,News,Photo&Video,References ,Shopping,Social_Networking,Travel,Utilities,Weather,infant&mom,sports,cluster
942,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,13
772,888,0,888,888,888,888,777,888,888,888,888,888,888,888,888,888,888,888,851,888,13
837,888,0,876,888,888,888,345,888,888,888,888,888,888,888,888,888,888,888,0,888,11
723,788,0,431,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,431,888,7
667,888,0,887,888,888,888,476,888,888,888,888,456,888,888,888,888,888,888,0,778,11
832,888,0,0,888,787,888,0,888,888,888,888,778,878,888,888,888,888,788,884,778,7
836,888,0,677,888,888,888,557,888,888,888,888,778,888,888,888,888,888,888,0,888,11
521,0,0,0,0,546,888,0,887,444,578,887,0,0,231,888,323,888,0,0,0,18
782,888,0,667,888,888,888,0,888,888,888,888,878,888,888,888,888,888,778,0,888,11
843,777,0,0,888,888,888,0,778,888,888,878,887,786,788,888,888,888,0,0,666,14
516,867,0,0,746,888,756,0,777,677,887,888,0,888,654,877,666,888,334,0,876,2
315,766,0,0,788,435,788,0,577,767,888,888,533,547,545,888,565,888,687,0,888,2
783,888,0,0,888,888,888,0,888,888,888,888,766,888,888,888,888,888,778,0,888,14
979,878,0,668,888,888,888,0,888,778,888,888,552,875,888,888,878,888,888,0,875,11
655,888,0,0,788,788,887,421,888,877,888,556,223,522,565,888,888,888,0,0,888,6
95,232,0,0,526,635,888,0,834,0,886,888,0,0,723,886,433,887,0,0,0,8
225,335,0,0,0,0,883,0,223,0,673,884,0,0,111,883,421,884,0,0,0,18
325,888,0,576,867,445,887,0,877,888,887,887,0,324,877,888,877,887,123,0,224,11
975,888,0,887,888,888,888,0,888,888,888,888,688,888,888,888,668,888,767,774,757,7
755,778,0,0,878,777,888,0,888,888,888,888,778,447,888,888,868,888,788,0,887,2
615,778,0,323,888,788,888,0,888,888,888,888,556,877,888,888,877,888,878,0,767,2
872,846,0,0,888,435,888,0,888,774,887,867,111,0,857,877,456,887,555,0,656,2
712,888,0,114,888,888,888,0,888,888,888,888,655,866,888,888,888,888,788,0,777,2
601,335,0,0,324,677,887,0,888,767,887,887,0,0,885,887,334,888,0,0,0,8
497,755,0,0,666,546,887,0,887,888,878,888,333,0,334,888,888,888,321,0,555,2
718,887,777,246,888,767,877,0,666,888,888,877,566,876,866,887,867,888,334,0,435,14
731,768,0,444,888,666,888,0,767,877,777,557,766,666,577,888,876,878,754,0,345,11
13,767,0,878,888,888,888,0,888,888,888,888,546,867,888,888,888,888,457,0,878,11
397,132,0,0,735,123,888,0,888,677,888,778,222,0,434,878,344,888,344,223,0,8
763,734,0,0,888,777,888,0,888,887,888,878,686,788,677,888,788,888,888,0,522,2
824,888,0,888,778,667,888,0,888,888,888,888,775,776,888,888,776,888,212,0,788,11
793,888,0,334,778,787,888,0,888,888,888,888,887,788,777,888,877,878,645,0,433,14
202,0,0,0,873,235,655,0,766,743,865,875,0,0,121,855,865,866,635,0,0,16
933,447,0,0,557,455,667,0,545,888,877,887,0,547,887,888,546,887,0,0,877,21
626,0,0,0,677,787,787,0,678,875,686,885,0,0,557,886,888,887,888,0,0,16
48,888,0,121,778,433,888,0,778,777,778,888,445,435,788,888,667,888,888,0,666,2
990,887,0,0,888,787,888,0,877,888,888,888,343,777,887,888,877,888,567,0,354,2
433,0,0,0,653,0,655,0,435,212,656,876,886,111,222,854,0,756,0,0,0,3
988,446,0,512,888,667,888,0,888,877,888,888,346,878,878,888,888,888,888,0,556,11
840,243,0,0,854,112,655,0,656,634,534,754,333,445,754,864,334,843,0,0,112,8
179,222,0,0,767,767,887,0,776,567,887,888,873,536,878,887,766,888,465,0,535,14
47,654,0,0,667,744,877,744,888,777,888,888,0,877,655,888,776,767,0,0,523,6
288,885,0,113,888,678,888,0,888,677,777,888,0,766,888,888,888,888,242,0,888,2
733,856,0,0,667,887,888,0,888,788,888,888,777,888,787,888,777,888,876,0,888,14
602,577,0,0,888,877,777,0,888,777,888,878,222,888,766,878,777,888,466,0,677,2
262,0,0,0,432,0,864,0,752,331,644,863,876,544,0,843,111,843,0,0,0,3
138,888,0,0,888,677,888,0,888,888,888,888,233,557,888,888,877,888,667,0,576,2
624,876,362,0,767,766,877,0,887,788,877,778,753,667,866,877,866,888,444,0,765,14
764,677,0,787,778,788,888,0,888,888,878,767,778,767,888,888,667,878,746,0,334,11
63,746,0,0,864,867,455,0,776,876,855,855,754,466,435,755,566,865,787,0,0,2
754,333,0,0,885,444,866,0,883,877,887,856,865,334,241,876,445,876,122,0,888,14
722,788,0,0,888,888,888,0,888,888,888,768,888,888,778,888,888,888,677,0,778,14
396,646,0,866,878,567,888,0,888,655,888,888,0,346,778,888,866,888,0,0,224,11
765,678,0,0,565,788,887,0,878,888,888,646,888,888,556,888,888,887,545,0,654,14
11,888,0,0,878,876,878,0,878,788,888,888,544,766,888,888,577,778,654,0,445,2
474,634,0,0,667,876,887,0,766,888,877,777,0,344,646,877,545,887,754,0,132,2
57,657,0,0,888,434,768,865,767,666,778,778,224,342,767,888,777,678,788,0,887,6
779,647,0,0,556,866,877,0,887,888,877,657,677,788,665,888,777,867,112,0,656,14
174,888,0,0,888,464,888,0,888,788,888,887,643,566,767,888,888,888,888,0,788,2
