user_id,traffic_bytes,duration_sec,frequency,TScore_category,DScore_category,FScore_category,custom_category,country,city,TDF_Score_By_Custom_Category
942,289313697.0,57409.0,2819.0,8,8,8,Books,China,big_chinese_city,888
836,126418688.0,8764.0,547.0,8,8,8,Books,China,big_chinese_city,888
772,89066952.0,10538.0,610.0,8,8,8,Books,China,big_chinese_city,888
793,80044876.0,3002.0,89.0,8,8,8,Books,China,big_chinese_city,888
655,78944081.0,5314.0,90.0,8,8,8,Books,China,big_chinese_city,888
718,46072256.0,1773.0,30.0,8,8,7,Books,China,big_chinese_city,887
533,36874424.0,2915.0,24.0,8,8,7,Books,China,big_chinese_city,887
990,32309688.0,2699.0,39.0,8,8,7,Books,China,big_chinese_city,887
799,29751547.0,320.0,7.0,8,7,5,Books,China,big_chinese_city,875
815,25161141.0,760.0,43.0,8,8,7,Books,China,big_chinese_city,887
174,24845504.0,2365.0,52.0,8,8,8,Books,China,big_chinese_city,888
783,18360738.0,1366.0,221.0,8,8,8,Books,China,big_chinese_city,888
872,14910291.0,26.0,11.0,8,4,6,Books,China,big_chinese_city,846
105,14192367.0,1772.0,18.0,8,8,6,Books,China,big_chinese_city,886
138,13987086.0,3859.0,65.0,8,8,8,Books,China,big_chinese_city,888
826,12454161.0,1542.0,69.0,8,8,8,Books,China,big_chinese_city,888
406,12077611.0,261.0,5.0,8,7,4,Books,China,big_chinese_city,874
837,11440944.0,2655.0,430.0,8,8,8,Books,China,big_chinese_city,888
624,10019351.0,336.0,14.0,8,7,6,Books,China,big_chinese_city,876
430,9780238.0,8499.0,593.0,8,8,8,Books,China,big_chinese_city,888
705,8674660.0,1381.0,36.0,8,8,7,Books,China,big_chinese_city,887
79,7871634.0,595.0,22.0,8,7,7,Books,China,big_chinese_city,877
890,7723970.0,1447.0,26.0,8,8,7,Books,China,big_chinese_city,887
223,7421535.0,1072.0,38.0,8,8,7,Books,China,big_chinese_city,887
264,7086201.0,2821.0,183.0,8,8,8,Books,China,big_chinese_city,888
270,7084510.0,367.0,13.0,8,7,6,Books,China,big_chinese_city,876
914,7051078.0,11114.0,171.0,8,8,8,Books,China,big_chinese_city,888
351,6833405.0,5674.0,174.0,8,8,8,Books,China,big_chinese_city,888
670,6716839.0,3214.0,106.0,8,8,8,Books,China,big_chinese_city,888
781,6526336.0,644.0,35.0,8,8,7,Books,China,big_chinese_city,887
691,6020104.0,469.0,54.0,8,7,8,Books,China,big_chinese_city,878
322,5992755.0,1754.0,38.0,8,8,7,Books,China,big_chinese_city,887
676,5635200.0,865.0,23.0,8,8,7,Books,China,big_chinese_city,887
757,5481895.0,85.0,8.0,8,5,5,Books,China,big_chinese_city,855
832,5304260.0,3097.0,388.0,8,8,8,Books,China,big_chinese_city,888
828,5293151.0,3265.0,163.0,8,8,8,Books,China,big_chinese_city,888
18,5033298.0,91.0,16.0,8,5,6,Books,China,big_chinese_city,856
235,4921635.0,128.0,3.0,8,6,3,Books,China,big_chinese_city,863
415,4615997.0,2655.0,62.0,8,8,8,Books,China,big_chinese_city,888
975,4602031.0,948.0,92.0,8,8,8,Books,China,big_chinese_city,888
943,4107735.0,750.0,77.0,8,8,8,Books,China,big_chinese_city,888
891,3902228.0,5436.0,89.0,8,8,8,Books,China,big_chinese_city,888
325,3647881.0,809.0,53.0,8,8,8,Books,China,big_chinese_city,888
422,3439280.0,3640.0,37.0,8,8,7,Books,China,big_chinese_city,887
48,3265261.0,2365.0,92.0,8,8,8,Books,China,big_chinese_city,888
782,3009235.0,946.0,186.0,8,8,8,Books,China,big_chinese_city,888
557,2956198.0,949.0,4.0,8,8,3,Books,China,big_chinese_city,883
712,2913363.0,932.0,107.0,8,8,8,Books,China,big_chinese_city,888
133,2688200.0,121.0,56.0,8,6,8,Books,China,big_chinese_city,868
11,2601913.0,1885.0,98.0,8,8,8,Books,China,big_chinese_city,888
32,2589722.0,4655.0,429.0,8,8,8,Books,China,big_chinese_city,888
617,2317554.0,250.0,92.0,8,7,8,Books,China,big_chinese_city,878
516,2232759.0,177.0,25.0,8,6,7,Books,China,big_chinese_city,867
49,2213049.0,529.0,53.0,8,7,8,Books,China,big_chinese_city,878
979,2010878.0,565.0,52.0,8,7,8,Books,China,big_chinese_city,878
367,1939269.0,220.0,209.0,8,6,8,Books,China,big_chinese_city,868
69,1852531.0,1283.0,50.0,8,8,8,Books,China,big_chinese_city,888
248,1754684.0,1671.0,208.0,8,8,8,Books,China,big_chinese_city,888
742,1677725.0,735.0,46.0,8,8,8,Books,China,big_chinese_city,888
288,1664541.0,825.0,10.0,8,8,5,Books,China,big_chinese_city,885
667,1660039.0,757.0,109.0,8,8,8,Books,China,big_chinese_city,888
824,1646372.0,777.0,252.0,8,8,8,Books,China,big_chinese_city,888
733,1640075.0,47.0,19.0,8,5,6,Books,China,big_chinese_city,856
952,1436418.0,158.0,20.0,8,6,6,Books,China,big_chinese_city,866
785,1414355.0,434.0,64.0,8,7,8,Books,China,big_chinese_city,878
735,1410321.0,1685.0,19.0,8,8,6,Books,China,big_chinese_city,886
10,1397019.0,401.0,66.0,8,7,8,Books,China,big_chinese_city,878
190,1371993.0,445.0,34.0,7,7,7,Books,China,big_chinese_city,777
305,1370305.0,59.0,7.0,7,5,5,Books,China,big_chinese_city,755
63,1341761.0,28.0,13.0,7,4,6,Books,China,big_chinese_city,746
777,1335489.0,316.0,15.0,7,7,6,Books,China,big_chinese_city,776
723,1308933.0,1188.0,129.0,7,8,8,Books,China,big_chinese_city,788
291,1277263.0,646.0,35.0,7,8,7,Books,China,big_chinese_city,787
841,1247980.0,22.0,3.0,7,4,3,Books,China,big_chinese_city,743
198,1246515.0,1512.0,20.0,7,8,6,Books,China,big_chinese_city,786
946,1224622.0,51.0,6.0,7,5,4,Books,China,big_chinese_city,754
652,1200235.0,120.0,1.0,7,6,1,Books,China,big_chinese_city,761
957,1191095.0,314.0,39.0,7,7,7,Books,China,big_chinese_city,777
506,1158135.0,22.0,10.0,7,4,5,Books,China,big_chinese_city,745
843,1147914.0,229.0,25.0,7,7,7,Books,China,big_chinese_city,777
790,1132015.0,1132.0,34.0,7,8,7,Books,China,big_chinese_city,787
441,1091126.0,835.0,28.0,7,8,7,Books,China,big_chinese_city,787
13,1087993.0,221.0,28.0,7,6,7,Books,China,big_chinese_city,767
731,1080320.0,184.0,108.0,7,6,8,Books,China,big_chinese_city,768
497,1079699.0,49.0,10.0,7,5,5,Books,China,big_chinese_city,755
